2,1375394802528,"euskadi31","euskadi31 join the chan."
32,1375397363176,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375397386987,"bobot1","bobot1 join the chan."
32,1375397399769,"bobot1","bobot1 leave the IRC (Remote host closed the connection)."
2,1375397410402,"bobot","bobot join the chan."
32,1375399146280,"kud","kud leave the IRC (Quit: Leaving)."
2,1375399852093,"Grirrle","Grirrle join the chan."
32,1375399929230,"Grirrle","Grirrle leave the IRC (Client Quit)."
2,1375402000112,"Munto","Munto join the chan."
32,1375403359152,"_mlb","_mlb leave the IRC (Read error: Connection reset by peer)."
2,1375403392182,"_mlb","_mlb join the chan."
32,1375404783468,"Tobu","Tobu leave the IRC (Remote host closed the connection)."
2,1375404864219,"Tobu","Tobu join the chan."
32,1375408671759,"_mlb","_mlb leave the IRC (Remote host closed the connection)."
32,1375411512444,"Tobu","Tobu leave the IRC (Ping timeout: 246 seconds)."
32,1375414262471,"Munto","Munto leave the IRC (Quit: Let's make things Frugal!)."
2,1375417531964,"MoOx","MoOx join the chan."
32,1375420093947,"romainhuet","romainhuet leave the IRC (Ping timeout: 245 seconds)."
2,1375422573218,"_mlb","_mlb join the chan."
2,1375426284012,"HammHetfield","HammHetfield join the chan."
32,1375426538565,"MoOx","MoOx leave the IRC (Remote host closed the connection)."
32,1375426821038,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375426834041,"bobot","bobot join the chan."
32,1375426861193,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375426915463,"bobot","bobot join the chan."
32,1375426932183,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375426936373,"MoOx","MoOx join the chan."
2,1375426951406,"bobot","bobot join the chan."
2,1375427087578,"romainhuet","romainhuet join the chan."
32,1375427127585,"MoOx","MoOx leave the IRC (Remote host closed the connection)."
32,1375427204471,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375427212098,"bobot","bobot join the chan."
2,1375427318389,"endou","endou join the chan."
2,1375428067914,"Grirrle","Grirrle join the chan."
2,1375428802174,"kewah","kewah join the chan."
2,1375430815565,"OwlyCode","OwlyCode join the chan."
2,1375431941620,"revolunet","revolunet join the chan."
32,1375432519707,"romainhuet","romainhuet leave the IRC (Ping timeout: 245 seconds)."
32,1375433007796,"_mlb","_mlb leave the IRC (Remote host closed the connection)."
2,1375433909233,"oncletom","oncletom join the chan."
2,1375434418033,"_mlb","_mlb join the chan."
2,1375437554451,"fbentz","fbentz join the chan."
32,1375437672172,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375437679382,"bobot","bobot join the chan."
32,1375438397406,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375438404224,"bobot","bobot join the chan."
32,1375438485370,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375438492298,"bobot","bobot join the chan."
32,1375438560004,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375438566756,"bobot","bobot join the chan."
4,1375438621605,"fbentz","fbentz leave the chan."
2,1375439605537,"rhannequin","rhannequin join the chan."
32,1375439612704,"kewah","kewah leave the IRC (Quit: kewah)."
2,1375439638322,"romainhuet","romainhuet join the chan."
2,1375441790949,"fbentz","fbentz join the chan."
32,1375442723298,"fbentz","fbentz leave the IRC (Quit: fbentz)."
2,1375442725011,"eaSy60","eaSy60 join the chan."
1,1375442731617,"eaSy60","Hello"
2,1375442796421,"fbentz","fbentz join the chan."
1,1375442898191,"tbassetto","http://www.javascriptkit.com"
1,1375443111701,"nod_","Me souviens plus de qui était de OVH au meetup chtijs la semaine dernière, quelqu'un peu me renseigner?"
1,1375443273264,"nod_","c'est pas des questions de support évidement, c'est plus pour parler sponsoring :)"
2,1375443474001,"showtim34","showtim34 join the chan."
32,1375443552591,"_mlb","_mlb leave the IRC (Ping timeout: 256 seconds)."
32,1375443736009,"endou","endou leave the IRC (Ping timeout: 256 seconds)."
32,1375443983228,"fbentz","fbentz leave the IRC (Quit: fbentz)."
32,1375444150348,"rhannequin","rhannequin leave the IRC (Read error: Connection reset by peer)."
2,1375445334674,"Tobu","Tobu join the chan."
2,1375445635737,"_mlb","_mlb join the chan."
32,1375445654090,"_mlb","_mlb leave the IRC (Remote host closed the connection)."
2,1375446374096,"kewah","kewah join the chan."
1,1375446478407,"angezanetti","je me rappelle plus de son prénom..."
2,1375446856055,"endou","endou join the chan."
32,1375446939878,"oncletom","oncletom leave the IRC (Quit: Leaving.)."
32,1375447578114,"OwlyCode","OwlyCode leave the IRC (Ping timeout: 256 seconds)."
2,1375448414232,"OwlyCode","OwlyCode join the chan."
2,1375448587772,"oncletom","oncletom join the chan."
32,1375449844459,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375449852646,"bobot","bobot join the chan."
32,1375449946530,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375450169883,"bobot","bobot join the chan."
32,1375450351123,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375451140700,"bobot","bobot join the chan."
32,1375451145192,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375451152272,"bobot","bobot join the chan."
32,1375451293197,"endou","endou leave the IRC (Remote host closed the connection)."
32,1375451299044,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375451413954,"endou","endou join the chan."
2,1375451655719,"MoOx","MoOx join the chan."
2,1375452100890,"bobot","bobot join the chan."
32,1375452106721,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375452132009,"bobot","bobot join the chan."
32,1375452134144,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375452149721,"bobot","bobot join the chan."
32,1375452154698,"bobot","bobot leave the IRC (Remote host closed the connection)."
2,1375452175288,"bobot","bobot join the chan."
32,1375452817660,"showtim34","showtim34 leave the IRC (Quit: Quitte)."
1,1375453335949,"nfroidure","nod_, c'est dans les tweets de Ch'tiJS"
32,1375453614529,"nod_","nod_ leave the IRC (Remote host closed the connection)."
2,1375453635951,"nod_","nod_ join the chan."
2,1375454079234,"lionelB","lionelB join the chan."
32,1375454108559,"eaSy60","eaSy60 leave the IRC (Quit: Leaving...)."
2,1375454291992,"eaSy60","eaSy60 join the chan."
2,1375454306465,"_mlb","_mlb join the chan."
32,1375454676620,"kewah","kewah leave the IRC (Quit: kewah)."
2,1375454980016,"kewah","kewah join the chan."
32,1375456484102,"endou","endou leave the IRC (Ping timeout: 260 seconds)."
32,1375456568420,"kewah","kewah leave the IRC (Quit: kewah)."
2,1375456643506,"endou","endou join the chan."
32,1375456928333,"mab","mab leave the IRC (Read error: Connection reset by peer)."
2,1375457045520,"mab","mab join the chan."
32,1375457293630,"_kud","_kud leave the IRC (Remote host closed the connection)."
2,1375457340941,"_kud","_kud join the chan."
32,1375457461379,"_kud","_kud leave the IRC (Remote host closed the connection)."
