32,1376085639370,"rhannequin","rhannequin leave the IRC (Remote host closed the connection)."
32,1376085691124,"euskadi31","euskadi31 leave the IRC (Quit: WeeChat 0.4.0)."
32,1376086494158,"fbentz","fbentz leave the IRC (Quit: fbentz)."
32,1376086557637,"Amatewasu","Amatewasu leave the IRC (Read error: Operation timed out)."
2,1376087135039,"tricky21","tricky21 join the chan."
2,1376087399397,"Amatewasu","Amatewasu join the chan."
32,1376087480860,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376087516046,"tricky21","tricky21 join the chan."
32,1376087778027,"tricky21","tricky21 leave the IRC (Ping timeout: 264 seconds)."
2,1376088038104,"tricky21","tricky21 join the chan."
32,1376088531425,"Amatewasu","Amatewasu leave the IRC (Ping timeout: 264 seconds)."
32,1376088883474,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376089247853,"tricky21","tricky21 join the chan."
32,1376089306846,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376089343877,"Amatewasu","Amatewasu join the chan."
32,1376090156878,"Amatewasu","Amatewasu leave the IRC (Ping timeout: 248 seconds)."
2,1376091049978,"tricky21","tricky21 join the chan."
2,1376091210921,"euskadi31","euskadi31 join the chan."
32,1376093384643,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376097619352,"tricky21","tricky21 join the chan."
32,1376097903358,"tricky21","tricky21 leave the IRC (Ping timeout: 260 seconds)."
2,1376125278809,"fbentz","fbentz join the chan."
2,1376127609553,"tricky21","tricky21 join the chan."
32,1376127706597,"fbentz","fbentz leave the IRC (Quit: fbentz)."
32,1376128453298,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376128965512,"tricky21","tricky21 join the chan."
32,1376129086602,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376129255952,"tricky21","tricky21 join the chan."
2,1376129655368,"_mlb","_mlb join the chan."
32,1376129921889,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376130209601,"tricky21","tricky21 join the chan."
32,1376130399310,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376134634762,"tricky21","tricky21 join the chan."
32,1376134903741,"tricky21","tricky21 leave the IRC (Ping timeout: 264 seconds)."
2,1376135895795,"tricky21","tricky21 join the chan."
32,1376136034311,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376136330829,"tricky21","tricky21 join the chan."
32,1376136592499,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376140072749,"tricky21","tricky21 join the chan."
32,1376140605403,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376140829992,"tricky21","tricky21 join the chan."
32,1376140878245,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376141663672,"tricky21","tricky21 join the chan."
4,1376143842043,"nod_","nod_ leave the chan."
32,1376143854403,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376144601038,"tricky21","tricky21 join the chan."
2,1376148409679,"Amatewasu","Amatewasu join the chan."
2,1376148511057,"nod_","nod_ join the chan."
32,1376152564522,"_mlb","_mlb leave the IRC (Remote host closed the connection)."
32,1376152590671,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376154144450,"tricky21","tricky21 join the chan."
32,1376154278606,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376154971131,"tricky21","tricky21 join the chan."
32,1376155143556,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376156374798,"tricky21","tricky21 join the chan."
32,1376156541136,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
32,1376156794871,"Amatewasu","Amatewasu leave the IRC (Ping timeout: 240 seconds)."
2,1376157968568,"Amatewasu","Amatewasu join the chan."
2,1376158851264,"_mlb","_mlb join the chan."
2,1376160774905,"tricky21","tricky21 join the chan."
32,1376161056603,"tricky21","tricky21 leave the IRC (Ping timeout: 256 seconds)."
32,1376161532665,"Amatewasu","Amatewasu leave the IRC (Ping timeout: 256 seconds)."
2,1376166362661,"tricky21","tricky21 join the chan."
32,1376166998025,"tricky21","tricky21 leave the IRC (Remote host closed the connection)."
2,1376171235102,"tricky21","tricky21 join the chan."
32,1376171406577,"_mlb","_mlb leave the IRC (Read error: Connection reset by peer)."
2,1376171441068,"_mlb","_mlb join the chan."
32,1376171517084,"tricky21","tricky21 leave the IRC (Ping timeout: 264 seconds)."
